É,S,I,0.0285966745195504
S,I,E,0.0290218501041809
I,E,.,0.0306787076086513
I,N,S,0.0884535226612473
N,S,T,0.0438156600868558
S,T,I,0.0641078583275588
T,I,T,0.0541827077172403
I,T,U,0.0507889647012487
T,U,É,0.0207027215976274
U,É,E,0.0171625122291085
P,A,R,0.2976053675794326
R,É,F,0.0120859627252282
F,O,R,0.0685757811363058
O,R,M,0.045836045698827
R,M,E,0.0416134638173565
É,L,E,0.0217205667439099
L,E,C,0.0258327349552749
E,C,T,0.0759170132548136
C,T,O,0.0143304006588266
T,O,R,0.032840004402849
O,R,A,0.024200875717158
R,A,L,0.0437345508721624
A,L,E,0.1422023678496955
E,L,L,0.1651099328113952
L,L,E,0.272382471017511
C,O,M,0.181400935756171
O,M,P,0.0619536825905923
M,P,T,0.0121609015997553
P,T,E,0.0170116091969451
P,O,U,0.1380791638637733
O,U,R,0.2470323461424929
V,O,I,0.0428014873182554
O,I,R,0.0706929721152967
S,O,N,0.1940794002694515
U,R,E,0.0955015797350565
E,A,U,0.0676619929048518
C,E,N,0.0392451530426554
E,N,T,0.5908922054198845
N,T,R,0.1117863004905996
T,R,A,0.1128994596830157
A,L,I,0.0812068962114522
L,I,S,0.0775364013220204
I,S,A,0.0384884941080643
S,A,T,0.0234946420700286
A,T,E,0.0425619066179015
T,E,U,0.0578805497034213
E,U,R,0.2135084965473172
N,I,C,0.0169540628522522
I,C,A,0.0505738230219159
M,P,O,0.040156648368247
P,O,S,0.0614179628452787
O,S,I,0.0183150982174512
S,I,T,0.0638103584522906
I,T,I,0.0730398265107489
T,I,O,0.3357847667923392
I,O,N,0.4446171893623059
T,E,R,0.1162439145437213
E,R,R,0.0630817922748917
R,R,I,0.0337506795019532
R,I,T,0.0648632496393967
I,T,O,0.0129698872559378
O,R,I,0.0569309138461674
R,I,A,0.0222431628654257
I,A,L,0.0351327797746685
L,E,.,0.0273573122971471
C,O,N,0.2114918392375613
O,N,S,0.1697940785071173
S,C,R,0.015129860502849
C,R,I,0.0383164888853624
R,I,P,0.0102977198506914
P,T,I,0.0217438686327554
O,S,E,0.0217368221415685
D,E,U,0.0448350524785576
E,U,X,0.0758257816996057
V,I,L,0.0400032473735993
I,L,L,0.1430863110219162
D,I,S,0.0452766139514242
I,S,T,0.1245517835775847
S,T,R,0.0721910971529516
T,R,I,0.0533958868177277
R,I,C,0.0498375392589314
I,C,T,0.0167046580755611
L,O,R,0.05481239931989
O,R,S,0.0505922781178816
D,E,S,0.3067278892888457
C,T,I,0.0845342008819676
A,R,L,0.0162212464103279
R,L,E,0.0116106974003354
L,E,M,0.0738300588067886
E,M,E,0.1876021649063127
M,E,N,0.2657160243169467
N,T,A,0.0556249455046881
T,A,I,0.0886003059194628
A,I,R,0.0989575853980433
I,R,E,0.166985045127548
R,E,S,0.1880422536998043
A,I,T,0.1179688694881538
I,T,S,0.0184473970215604
T,S,.,0.0135501229297018
G,A,R,0.0197353576633399
A,R,E,0.0264764636157651
D,O,N,0.0541410066569624
E,N,A,0.0249868204656501
E,S,T,0.3222455118635949
U,N,E,0.2121905230727048
A,N,C,0.1058240555124574
N,C,I,0.0391820328861507
C,I,E,0.0443591347007771
I,E,N,0.153464413068369
E,N,N,0.0491221712713746
N,N,E,0.1054210819675188
F,E,R,0.0171197299611882
R,O,V,0.0161157540991466
O,V,I,0.017195563628247
F,R,A,0.0605336468428365
R,A,N,0.1426684242681166
A,N,Ç,0.0242701848553401
N,Ç,A,0.0216092955642949
Ç,A,I,0.0199964879504981
A,I,S,0.1332650681943376
I,S,E,0.0797654600089808
L,I,G,0.0247717160693395
I,G,N,0.0493418055548767
G,N,E,0.0521258779511148
B,R,A,0.0117374037511216
R,A,I,0.0659255175065742
A,N,S,0.2100436920911023
M,O,N,0.0654400739166337
O,N,T,0.2040039357099045
B,A,N,0.0174118610812664
B,O,U,0.0249534894438455
B,O,N,0.0121073631799439
O,N,",",0.029768759528479
S,U,R,0.1097735951811919
T,O,I,0.037321349099571
O,M,M,0.1312061878619936
M,M,U,0.0389272220712474
M,U,N,0.0462755379639642
D,A,N,0.1912591260587031
D,É,P,0.0298936390111798
É,P,A,0.0253568171774944
A,R,T,0.1335704347872801
R,T,E,0.057795805394068
T,E,M,0.0467670586865156
C,O,R,0.0414139437243058
R,É,G,0.0267556202441342
É,G,I,0.0252065293151965
G,I,O,0.0185611848051707
N,O,U,0.0313802435949894
O,U,V,0.0952800813004467
U,V,E,0.0840449917067897
V,E,L,0.0269290981462112
A,Q,U,0.0202668085026169
Q,U,I,0.1312493616016465
U,I,T,0.0595083823751457
I,T,A,0.0579201256314365
A,I,N,0.1312468263561401
I,N,E,0.1126933404950439
N,E,.,0.0220100694109264
M,I,S,0.0342733874725354
S,E,R,0.0654751758819905
E,R,V,0.0340048378639688
R,V,I,0.0182091957930262
V,I,C,0.0217001729307923
I,C,E,0.0342185627884598
E,R,M,0.0395145601607315
R,M,É,0.0161987461064587
M,É,E,0.0154367556996998
F,I,C,0.0308848640796452
C,O,U,0.0726366665506997
U,R,S,0.1031788250907164
U,A,T,0.0178831184812778
A,T,I,0.236802350901542
R,E,.,0.0352984655251156
É,T,A,0.0775605420788643
T,A,B,0.018719600366298
A,B,L,0.0370930278719073
B,L,I,0.0389909201145954
L,I,E,0.0630103207214247
D,SQT,A,0.0703082672512131
SQT,A,L,0.0145265839213946
T,U,D,0.0199447018327278
U,D,E,0.017597698305187
P,O,I,0.0157972825239174
O,I,N,0.03831298428128
I,N,T,0.1094424100954086
M,É,T,0.0138070775183788
É,T,R,0.0160035322024666
R,I,Q,0.0221364961390465
I,Q,U,0.179877868376696
Q,U,E,0.3536197528920178
T,R,E,0.1970521061162716
V,E,R,0.093917647821917
E,R,T,0.0543408436557014
A,L,L,0.0576969308193187
L,L,A,0.035226341518761
L,A,S,0.0229486881351341
A,S,S,0.0798695169238092
S,S,A,0.0406011924828858
D,SQT,U,0.0515831676391476
U,S,S,0.0364889869884987
H,I,S,0.0284121608429162
S,T,O,0.0348939260932466
M,P,A,0.0185431398224488
P,A,G,0.0211390261643706
A,G,N,0.0318938731496774
N,I,E,0.0418403496486673
C,H,E,0.1051802336444118
E,M,I,0.0553146948358436
M,I,N,0.0588171737859439
A,R,I,0.0588922990755818
R,I,S,0.0707520284223868
N,S,",",0.0188128452047021
L,SQT,O,0.0326417705740626
T,U,R,0.0594422422938466
S,E,C,0.0216392897556168
L,I,M,0.0173108800157656
G,E,S,0.0298291393828555
É,N,É,0.0236471109891225
É,D,I,0.0286191002573753
D,I,C,0.0124583269089792
T,I,N,0.0364018752072387
B,R,I,0.0207807363214822
R,I,V,0.0230198241414017
I,V,E,0.0681605228355679
E,R,C,0.0245592587676018
R,C,H,0.0299493025632539
D,A,T,0.0191433778375977
M,E,T,0.0261935973266918
I,N,C,0.0430802338333808
N,C,O,0.0246236651883707
O,N,N,0.1122143282264248
N,N,U,0.0132887875859217
N,U,E,0.0165758265925121
U,E,.,0.022530913230401
P,A,T,0.0189486672544048
A,T,R,0.0226005765572935
R,I,M,0.0144516823298896
M,O,I,0.0256264293521924
L,SQT,A,0.0996449165529412
SQT,A,N,0.021204271453138
T,I,M,0.0170793710897078
I,M,E,0.0293836631926628
O,Y,A,0.0157358773864317
A,G,E,0.0822365973587793
É,T,É,0.0576912265169294
L,O,G,0.0319079847735623
N,T,.,0.0172310197823143
M,A,R,0.0671056742897988
A,R,C,0.0343875667278784
C,H,A,0.0992829356908597
H,A,N,0.0348629998263709
A,N,D,0.111737366524024
N,D,I,0.0403160332879502
S,E,S,0.0734694760580378
N,D,O,0.0100634333394832
R,R,A,0.0168114552925178
I,C,H,0.0222860383409014
L,E,S,0.3842069120397729
A,I,L,0.0386607416704102
L,A,R,0.0199992282526263
A,R,D,0.0444189553098213
R,D,E,0.0124798764957835
M,A,T,0.0512910924436025
T,É,R,0.0312729244157226
É,R,I,0.0806593763896273
R,I,E,0.0895381976247386
I,E,L,0.0228660875995546
G,U,E,0.0438946814523086
U,E,R,0.0279481736322247
R,R,E,0.0460847980226305
M,P,R,0.0129237122330015
P,R,E,0.0828637723574337
R,E,N,0.0972181832825267
N,A,N,0.0335336736715129
A,N,T,0.2771897252523816
N,T,",",0.0266510227254845
A,U,T,0.0761197210462583
U,T,R,0.0338607203418372
E,S,",",0.0695531928450636
C,A,N,0.0277798407872048
A,N,O,0.0126916254201004
N,O,N,0.024191610886153
T,C,H,0.0143211171863105
I,S,S,0.0715708754379287
A,V,E,0.0916314342619964
V,E,C,0.0722331337604288
G,R,A,0.0745017497338934
N,D,E,0.0675956850499531
Q,U,A,0.0427042345549698
U,A,N,0.0177573628475564
N,T,I,0.0619519302885511
I,T,É,0.0875794781314081
D,SQT,O,0.0172662149552265
U,I,S,0.0586780708302918
I,S,I,0.0352976639401393
S,I,N,0.0221007230792909
N,E,S,0.0703739785777574
R,O,U,0.0668108028675924
O,U,L,0.0244853451761839
U,L,A,0.0296593524999716
L,A,N,0.0659664542648979
N,T,E,0.129648093083206
T,E,S,0.0869365324143831
I,D,É,0.0147388920910437
R,É,S,0.067492448361612
S,I,S,0.0144187987043509
S,T,A,0.0571727128863393
T,A,N,0.0833453012300481
N,C,E,0.1343442066290392
S,I,È,0.0134634399031965
C,L,E,0.0160854616436474
L,E,",",0.0285435462129827
C,A,R,0.0480145299662371
T,R,O,0.0669440896717886
R,O,P,0.040061986775001
P,R,O,0.1159811810866106
R,O,C,0.0235468383010426
O,C,H,0.0170919541096843
B,L,E,0.0656367232169786
L,E,N,0.0207121542022321
O,C,A,0.0151840700170592
C,A,M,0.012327482142734
A,M,P,0.0268788592738603
M,P,I,0.0211292766540776
I,N,A,0.049455574696976
S,O,U,0.0551535762556103
O,U,S,0.0527362010237561
F,A,M,0.0142715680498695
A,M,I,0.029347125830953
M,I,L,0.0387826012283167
D,SQT,I,0.0153648367499671
SQT,I,N,0.0351993858937445
N,S,E,0.0426519637579116
C,T,E,0.0282254101849529
SQT,O,R,0.0175414755077806
O,R,D,0.0474731618430674
D,R,E,0.0357628628490508
È,R,E,0.1113712099634614
T,E,N,0.0664799160459863
D,I,N,0.0109576852673291
I,N,I,0.0432180878077907
I,D,A,0.0101335813456637
A,M,B,0.0121237863512022
M,B,A,0.0107431401163508
D,I,V,0.0165731794979392
I,V,I,0.0312167761843605
V,I,S,0.0272759048182765
S,I,O,0.0618390186559614
N,I,S,0.0535168888661246
R,A,T,0.0657405005091409
T,I,V,0.034092229267895
V,I,N,0.017811423229678
N,O,R,0.0263141892618451
2,0,0,0.0329776906036593
P,O,P,0.0124939694781573
O,P,U,0.0122469135318618
P,U,L,0.0146948794833923
L,A,T,0.0364962758193296
L,A,G,0.0141509947562273
L,I,C,0.0231896296657966
C,H,I,0.0344897967746214
H,I,N,0.0123494977673152
I,N,G,0.0316696903374726
É,V,E,0.0118365393070259
E,R,I,0.0217939210899955
R,I,N,0.0381483610969643
R,I,G,0.0232786428811864
G,E,N,0.0264902396924506
E,I,N,0.0298858095765277
R,A,V,0.0285892365566309
I,S,.,0.0151748983936096
B,I,O,0.0134327746174758
I,O,G,0.0102947372089191
O,G,R,0.0291211907167071
R,A,P,0.0420634885362518
A,P,H,0.025431122240645
P,H,I,0.0344213637874599
H,I,E,0.0248236886022205
F,I,L,0.0288867550734103
I,L,S,0.0277070643279625
L,SQT,É,0.0502570105411725
SQT,É,C,0.0127250310079493
É,C,R,0.0181818859792992
I,V,A,0.0230305057272485
V,A,I,0.0390525675917251
O,N,D,0.0744580540319303
N,O,M,0.0608863815154242
P,L,U,0.0787501314666936
U,M,E,0.0205202025626784
R,O,N,0.0487066519894817
O,N,C,0.0437823663480733
U,R,T,0.0142396724244178
SQT,A,R,0.0286008502180315
A,R,R,0.0379432299090797
R,I,È,0.0160453637533221
I,È,R,0.0689772633603582
P,E,T,0.0135119264735062
E,T,I,0.0171321824905872
O,N,O,0.0169398766623231
O,I,S,0.0826005355795238
É,R,A,0.0503114251120045
R,A,S,0.0139222634153199
R,E,M,0.0790867785152223
M,I,E,0.0361269502018839
I,E,R,0.1050906239006675
D,SQT,E,0.026063106749157
SQT,E,N,0.0302744850824706
T,R,É,0.0128787116252631
R,É,E,0.0261947158173564
É,C,O,0.0334061657357503
C,O,L,0.0443968837607068
O,L,E,0.0269167388243675
R,T,S,0.0143560327365566
D,É,C,0.0391259405793218
T,I,F,0.026409093194735
P,U,I,0.0391871593016967
N,A,T,0.0590068325196352
O,N,A,0.0436757741877385
N,A,L,0.0628739207848787
A,U,X,0.0856909625687914
A,N,N,0.0542525388177325
N,N,É,0.0393494709386389
N,É,E,0.0525452746673116
S,U,I,0.0384305562916389
U,I,V,0.0169019411872826
V,A,N,0.0476733343890058
T,E,.,0.0142806278242526
L,U,I,0.029604061778119
É,C,E,0.0112135586483638
C,E,R,0.029257572011742
E,R,N,0.0538598926699303
R,N,E,0.0288563507688447
M,É,D,0.0162843852083437
D,A,I,0.0129703346522036
A,R,G,0.0204774948608024
R,G,E,0.0247014002895593
S,A,L,0.0126606805117135
A,L,O,0.0275828745811715
L,O,N,0.0515431629563776
R,T,I,0.0951579234783631
T,I,S,0.0252738810947155
S,T,E,0.0821449184073056
P,E,N,0.0368482089069409
E,N,S,0.0711986417447552
N,S,I,0.0405693527819674
N,N,A,0.0345854277264433
N,A,I,0.0324411879148805
C,A,S,0.0173813262861233
R,O,M,0.0227648828359208
M,O,T,0.011702600049942
A,P,R,0.0297469489605196
P,R,È,0.0382120777818235
R,È,S,0.0525157651552776
A,V,O,0.0194135678991391
E,N,D,0.0786133959829482
N,D,R,0.0308595861906256
A,U,R,0.0168117908397171
R,É,A,0.0252052057679101
1,9,6,0.0116949383888896
C,E,T,0.0416036770240414
E,T,T,0.0658874701824673
T,T,E,0.0744832014303723
E,S,S,0.0758093398868363
S,S,E,0.099283252596548
P,E,R,0.0625565117757809
E,R,S,0.1035443105568802
R,S,O,0.0166063241046331
L,I,T,0.0588446513732705
T,É,S,0.029983472453057
M,O,R,0.026123374754467
O,R,T,0.110793062138938
A,S,T,0.0244206032082155
T,E,A,0.0108128034432433
R,S,.,0.0103579692144903
M,A,N,0.0703392680841332
G,N,A,0.0105255936820893
S,E,N,0.0547010722157417
T,R,È,0.0120779655169764
I,S,O,0.0386698760108377
S,O,L,0.0196055941047371
L,É,E,0.0163202887586768
T,U,E,0.0215381036334941
SQT,U,N,0.0712444625789809
O,N,E,0.020419575685888
I,S,É,0.033336055012592
S,É,E,0.0326984221262237
S,A,N,0.0576349850780119
É,E,S,0.0644646754910722
I,A,T,0.0176631672920874
R,A,D,0.0194218074470348
D,O,U,0.0134124553704026
L,O,U,0.0149894339999105
L,L,É,0.0116826163500681
B,E,R,0.027936783668957
S,A,I,0.0496846602265939
N,T,-,0.0184056400367493
H,A,U,0.0161605869332853
U,T,E,0.049340892120834
V,I,E,0.0421908100569036
A,T,H,0.0146259245339207
U,R,G,0.0135408953817189
C,E,L,0.0293148014507465
I,S,",",0.0197535517781504
L,SQT,E,0.0427302767459435
SQT,E,X,0.0146175544954474
E,X,T,0.0142318429897657
É,M,I,0.017731637562271
M,I,T,0.0173712785116531
U,N,A,0.0116217704579147
T,O,U,0.0774507622201354
O,U,T,0.0574246156255147
I,M,I,0.0187809309377393
I,T,E,0.0879073263867088
D,É,S,0.0132664923386744
A,F,F,0.0155179581219486
F,F,E,0.0170087011212171
T,I,L,0.0241034365387617
I,L,I,0.0520504730388107
L,I,A,0.0148010056059503
I,L,E,0.0244110028300112
E,S,C,0.0149451231280819
A,M,E,0.0195333396078049
N,E,",",0.0240599645349315
É,T,E,0.0115448369417024
S,E,",",0.0132772298490544
D,U,C,0.0174321244038065
U,C,T,0.0232034243839931
J,O,U,0.046946501872137
U,R,N,0.0242978115747553
R,N,A,0.0246181845841143
M,A,I,0.0728181230195173
Y,A,N,0.011124079395197
M,E,S,0.0439902937626195
I,M,P,0.0294094630439925
M,P,L,0.0339259842721157
P,L,E,0.0239321956180139
N,O,T,0.0201785409476702
O,T,A,0.0219615082745724
T,A,M,0.0147737144337344
A,M,M,0.0203201045827844
M,M,E,0.0958322055755075
E,N,F,0.013945714436254
F,A,N,0.0120928973673486
N,T,S,0.0738170470320572
C,I,N,0.0193783168016936
I,N,Q,0.0100932597572054
N,Q,U,0.0125115857061245
I,È,M,0.0196697209028399
È,M,E,0.0328868878032061
S,E,I,0.0247759663338649
E,I,G,0.010546994136805
C,A,T,0.0359975035489694
O,R,G,0.0201563575494893
P,A,S,0.048229708928592
S,S,É,0.0146762379723159
A,T,A,0.0155622689937772
T,A,L,0.0478817837658621
J,U,S,0.0191152291558724
U,S,Q,0.0146594792538583
S,Q,U,0.0371806243324552
Q,U,SQT,0.0511933922840511
U,SQT,E,0.0122103388871299
D,É,M,0.0155462559357626
N,A,G,0.0136355569749649
C,SQT,E,0.012798907316345
SQT,E,S,0.0374902411899232
I,C,I,0.0456311568505863
É,L,É,0.0143206138655115
É,M,E,0.0113089099775195
R,E,",",0.0347076787560823
É,E,",",0.0103247686832632
F,A,C,0.014972712564475
C,U,L,0.0360472577420323
U,L,T,0.027103042086065
L,E,T,0.019603618104563
T,T,R,0.0132589984512216
H,I,L,0.0113610502840002
O,P,H,0.011627698458437
I,E,",",0.0159520443488736
F,O,I,0.0187727659558879
E,N,I,0.014828762815943
N,I,R,0.0113330693758746
E,N,C,0.0713312574545527
C,E,.,0.012634917943406
S,E,U,0.0238323889677108
I,T,T,0.0117092364278852
L,E,U,0.0552314418473764
U,T,I,0.0450881296329308
SQT,A,U,0.0239601392431174
T,E,L,0.020694556615776
E,L,S,0.0164564277140677
D,R,A,0.010985964439632
A,S,I,0.0116205214766726
I,A,N,0.0230898789400268
E,L,I,0.0164791517160699
M,A,G,0.0183016204049429
S,I,G,0.0172061892895605
N,E,R,0.023149699549071
T,I,C,0.0314986171903245
C,H,O,0.0157829472018996
V,E,A,0.0178938746331689
E,A,N,0.0154883926853814
A,R,A,0.042288510216455
S,E,L,0.0170825028635686
E,L,O,0.0250945870411827
D,I,R,0.0210348946834978
O,N,F,0.0150634967234171
E,R,",",0.0178495824028513
C,E,S,0.0679477113451198
C,E,P,0.0164179702767171
N,D,A,0.0519018069879764
P,O,R,0.0717182365829876
H,O,N,0.0140463413130444
N,E,U,0.0196943649804829
U,R,",",0.0104630141294058
A,M,A,0.0155259739717114
É,R,O,0.016211012220747
L,É,G,0.0127526390858534
E,M,A,0.026221951065039
M,I,È,0.0219175888744764
U,E,L,0.04208475850039
R,T,A,0.0342239501851608
T,A,G,0.0153661043727202
M,E,̂,M,0.0225723533095238
